year,quarter,us.avg,us.adj.avg,phl,phl.adj
1995,1,296.9,466.61,376.21,591.27
1995,2,296.8,463.1,365.15,569.75
1995,3,287.51,446.56,376.27,584.4
1995,4,287.78,446.09,378.28,586.38
1996,1,283.97,433.97,368.15,562.62
1996,2,275.78,418.76,370.57,562.7
1996,3,269.49,406.36,371.59,560.32
1996,4,278.33,417.57,374.66,562.1
1997,1,283.4,421.47,382.77,569.24
1997,2,289.44,429.63,388.67,576.93
1997,3,282.27,416.66,389.32,574.67
1997,4,293.51,432.98,416.23,614.02
1998,1,304.74,447.05,443.75,650.98
1998,2,300.97,439.35,422.37,616.57
1998,3,315.25,458.52,411.75,598.86
1998,4,316.18,459.02,408.77,593.44
1999,1,331.74,478.4,432.29,623.4
1999,2,329.34,471.5,427.74,612.38
1999,3,317.22,449.56,415.67,589.08
1999,4,317.93,449.5,413.81,585.05
2000,1,340.23,472.87,441.97,614.29
2000,2,339.16,468.11,421.74,582.08
2000,3,336.66,461.18,421.22,577.02
2000,4,340.08,465.06,414.13,566.32
2001,1,347.69,469.52,435.94,588.7
2001,2,328.67,439.36,414.65,554.29
2001,3,303.02,404.39,379.26,506.13
2001,4,299.81,403.72,366.98,494.18
2002,1,320.02,425.88,380.32,506.12
2002,2,317.93,420.51,371.45,491.3
2002,3,303.3,398.72,362.6,476.68
2002,4,308.85,406.25,363.23,477.77
2003,1,319.19,412.32,390.74,504.75
2003,2,314.52,407.4,379.49,491.55
2003,3,312.39,401.36,375.48,482.42
2003,4,315.77,407.69,370.49,478.34
2004,1,320.23,406.61,379.84,482.29
2004,2,309.45,388.15,322.07,403.98
2004,3,296.54,371.56,284.05,355.92
2004,4,297.28,371.71,285.94,357.53
2005,1,301.39,371,285.24,351.11
2005,2,306.68,375.19,289.64,354.34
2005,3,305.91,366.14,289.33,346.3
2005,4,314.76,380.57,307.46,371.74
2006,1,323.34,385.07,310.07,369.27
2006,2,341.58,400.58,331.74,389.04
2006,3,330.12,387.14,314.83,369.2
2006,4,318.16,375.15,302.02,356.12
2007,1,317.84,368.29,302.04,349.98
2007,2,325.39,371.6,311.7,355.97
2007,3,327.56,373.84,311.7,355.74
2007,4,329.77,373.59,327.94,371.51
2008,1,333.29,371.41,338.68,377.41
2008,2,346.99,377.33,338.09,367.65
2008,3,358.93,390.36,348.07,378.56
2008,4,345.42,390.96,339.76,384.55
2009,1,313.82,351.05,301.63,337.42
2009,2,301.82,332.96,297.08,327.73
2009,3,306.95,338.19,302.99,333.82
2009,4,319.85,352.43,325.45,358.6
2010,1,328.12,358.74,337.15,368.62
2010,2,340.72,371.95,347.64,379.5
2010,3,339.71,370.05,345.39,376.23
2010,4,334.78,363.44,344.35,373.83
2011,1,355.72,378.77,366.03,389.74
2011,2,369.68,389.7,388.72,409.77
2011,3,360.74,378.32,383.45,402.14
2011,4,368.39,388.42,382.32,403.11
2012,1,372.83,386.73,405.92,421.06
2012,2,384.67,398.86,412.42,427.64
2012,3,366.97,377.33,390.3,401.33
2012,4,374.23,387.83,387.06,401.13
2013,1,377.93,386.33,401.2,410.12
2013,2,378,385.19,405.65,413.37
2013,3,390.04,396.36,416.22,422.96
2013,4,382.04,390.07,411.22,419.86
2014,1,382.15,384.83,414,416.89
2014,2,395.62,394.96,434.63,433.9
2014,3,396.37,396.22,436.11,435.95
2014,4,392.66,397.9,434.33,440.13
2015,1,388.32,391.32,427.91,431.22
2015,2,385.91,384.79,417.12,415.91
2015,3,371.72,371.72,384.34,384.34
